[2011/07/18 Mon 10:41:21] Check Leaks ===================================================>
Memory Stay ------> 0x102f4228 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102f0280 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102f0268 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102f0250 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102ec2f0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102ec2e0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102ec2c8 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102e8228 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d42d8 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d42f0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d42c8 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d42a0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d4290 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d4278 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102d42b8 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102c4240 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102c0280 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102bc2c0 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102b4200 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102b0240 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102ac280 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102a8208 (size  25, <Unknown>:0   )
Memory Stay ------> 0x102a02a8 (size  20, <Unknown>:0   )
Memory Stay ------> 0x1029c288 (size  20, <Unknown>:0   )
Memory Stay ------> 0x10298268 (size  20, <Unknown>:0   )
Memory Stay ------> 0x10294248 (size  20, <Unknown>:0   )
Memory Stay ------> 0x10290228 (size  20, <Unknown>:0   )
Memory Stay ------> 0x1028c208 (size  20, <Unknown>:0   )
Memory Stay ------> 0x102842b0 (size  44, ../../common/cmr_setting_element.cpp:54  )
